,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1533,1855,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/27/2017 1:00,4/28/2017 1:00,116,5904.0,0.44511459600000003,0
1534,1856,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/28/2017 1:00,4/29/2017 1:00,117,3345.0,0.25218636899999997,0
1535,1857,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/29/2017 1:00,4/30/2017 1:00,118,4190.0,0.315892642,0
1536,1858,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/30/2017 1:00,5/1/2017 1:00,119,13264.0,1.0,1
1537,1859,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/1/2017 1:00,5/2/2017 1:00,120,2354.0,0.17747285899999998,0
1538,1860,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/2/2017 1:00,5/3/2017 1:00,121,5619.0,0.423627865,0
1539,1861,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/3/2017 1:00,5/4/2017 1:00,122,7000.0,0.52774427,1
1540,1862,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/4/2017 1:00,5/5/2017 1:00,123,4506.0,0.339716526,0
1541,1863,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/5/2017 1:00,5/6/2017 1:00,124,6324.0,0.47677925200000004,1
1542,1864,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/6/2017 1:00,5/7/2017 1:00,125,2800.0,0.211097708,0
1543,1865,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/7/2017 1:00,5/8/2017 1:00,126,5243.0,0.39528045799999995,0
1544,1866,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/8/2017 1:00,5/9/2017 1:00,127,5176.0,0.390229192,0
1545,1867,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/9/2017 1:00,5/10/2017 1:00,128,3429.0,0.25851929999999995,0
1546,1868,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/10/2017 1:00,5/11/2017 1:00,129,5093.0,0.38397165299999997,0
1547,1869,BHX,66,MEA,walk_distance,1/2/2017 1:00,5/11/2017 1:00,5/12/2017 1:00,130,7384.0,0.556694813,1
